event_date,label_UP,text_seq_len,audio_seq_len,visual_seq_len,fused_dim,tv_attn_entropy
2015-12-16,0,30,120,18,1024,2.8481305
2016-12-14,0,28,120,18,1024,2.8497224
2017-03-15,1,26,120,18,1024,2.8698792
2017-12-13,1,32,120,18,1024,2.876482
2018-03-21,1,30,120,18,1024,2.8690686
2018-09-26,0,25,120,18,1024,2.823212
2018-12-19,1,26,120,18,1024,2.8505266
2019-07-31,0,32,120,18,1024,2.8569353
2019-09-18,0,28,120,18,1024,2.8244598
2021-11-03,1,28,120,18,1024,2.8836448
2022-03-16,1,26,120,18,1024,2.8305326
2022-06-15,1,27,120,18,1024,2.8567333
2023-07-26,1,27,120,18,1024,2.8731189
2024-09-18,1,28,120,18,1024,2.866592
2024-12-18,0,29,120,18,1024,2.8718474
