event_id,date,category,actor,text,EURUSD_ret_1d,EURUSD_dir_1d,EURUSD_ret_3d,EURUSD_dir_3d,EURUSD_ret_7d,EURUSD_dir_7d,GBPUSD_ret_1d,GBPUSD_dir_1d,GBPUSD_ret_3d,GBPUSD_dir_3d,GBPUSD_ret_7d,GBPUSD_dir_7d,USDJPY_ret_1d,USDJPY_dir_1d,USDJPY_ret_3d,USDJPY_dir_3d,USDJPY_ret_7d,USDJPY_dir_7d,VIX_chg_3d,VIX_dir_3d
EVT_001,2015-01-22,Monetary Policy,ECB / Mario Draghi,"The ECB announces an expanded asset purchase programme of 60 billion euros per month, committing to purchases until inflation returns towards target.",,,,,,,,,,,,,,,,,,,,
EVT_002,2015-06-27,Geopolitical,Greek Government / Alexis Tsipras,"Greek PM Tsipras announces a surprise referendum on the bailout terms proposed by creditors, raising the prospect of Greek exit from the eurozone.",,,0.0017828818765255308,UP,-0.010409247659641997,DOWN,,,-0.0008341662792259772,NEUTRAL,-0.00841956286283615,DOWN,,,-0.007536552088169891,DOWN,-0.004370460419642999,DOWN,0.2625836493229074,UP
EVT_003,2015-07-05,Election,Greek Referendum,"Greek voters reject the bailout terms with a decisive No vote, deepening uncertainty over Greece's future in the euro area.",-0.008324825272776826,DOWN,-0.0069714566214261805,DOWN,-0.0021595443115923576,DOWN,-0.00366244933598235,DOWN,-0.00966450467130947,DOWN,-0.015430911241134875,DOWN,-0.00531236074880664,DOWN,-0.0046345232269627765,DOWN,-0.011104924869106346,DOWN,0.15780258134010283,UP
EVT_004,2015-08-11,Policy Announce,People's Bank of China,"China devalues the yuan by nearly 2 percent, the largest single-day move in decades, framing it as a market-oriented reform.",0.0022721040757417775,UP,0.012984881331546384,UP,0.005523734263359894,UP,-7.794456737767209e-05,NEUTRAL,0.0020905319159646913,UP,-1.568021479340782e-05,NEUTRAL,0.00366065166800351,UP,-0.0020082263841012366,DOWN,-0.0014052981068477537,DOWN,-0.06633932367562469,DOWN
EVT_005,2015-11-13,Geopolitical,French Government,Coordinated terrorist attacks strike Paris; President Hollande declares a state of emergency and announces France is at war with ISIS.,,,-0.010692750373652467,DOWN,-0.008250161404917314,DOWN,,,-0.0010962428985153991,DOWN,0.003510184832590317,UP,,,-0.0016004898709005625,DOWN,0.0028679869474974957,UP,-0.10050292625329874,DOWN
EVT_006,2015-12-16,Monetary Policy,Federal Reserve / Janet Yellen,"The Federal Reserve raises interest rates for the first time in nearly a decade, signalling confidence in the US recovery while stressing a gradual path.",-0.0056597664993413435,DOWN,-0.008461582337473468,DOWN,0.0012585284984437074,UP,-0.004383115752523788,DOWN,-0.007613157556775533,DOWN,-0.014753808767195226,DOWN,0.0064553418115381395,UP,0.006349177674954896,UP,-0.0053151421361831265,DOWN,0.14757012750572904,UP
EVT_007,2016-02-20,Election,UK Government / David Cameron,"PM Cameron announces the date of the EU membership referendum, launching the official Brexit campaign period.",,,-0.007493967863251422,DOWN,-0.0077696521837490595,DOWN,,,-0.013001358978498984,DOWN,-0.025919595577453058,DOWN,,,-0.002466609812897257,DOWN,-0.001166276164025014,DOWN,0.02168231667230156,UP
EVT_008,2016-06-24,Election,UK Referendum Result,"The UK votes to leave the European Union; PM Cameron announces his resignation, triggering historic uncertainty over UK-EU relations.",,,-0.025767007174789764,DOWN,-0.019434495935270576,DOWN,,,-0.07908477228808979,DOWN,-0.08821651270295876,DOWN,,,-0.026752292540819195,DOWN,-0.0175319625063487,DOWN,-0.07703867679242953,DOWN
EVT_009,2016-07-11,Policy Announce,UK Government,"Theresa May becomes the new UK Prime Minister, pledging that Brexit means Brexit and promising negotiation clarity.",0.001270838382200458,UP,0.004604806554473764,UP,0.0008286391081007142,NEUTRAL,0.0026964474298473134,UP,0.013319253360776464,UP,0.021658726459865153,UP,0.018030571741632848,UP,0.03305500087850413,UP,0.046255882305279356,UP,-0.054641836978914275,DOWN
EVT_010,2016-11-09,Election,US Presidential Election,"Donald Trump wins the US presidential election, promising sweeping changes to trade policy, taxation, and international agreements.",-0.008973283929278824,DOWN,-0.011808581206007567,DOWN,-0.02683187098480498,DOWN,0.002604899153414188,UP,0.013218821299247714,UP,0.0054658605095500076,UP,0.00780529717701791,UP,0.017236147937316853,UP,0.03745045178701231,UP,-0.014711301164462794,DOWN
